1,CP,Black & Yellow,2223A02,346,CP0,This Pog was created to represent the York Tech 2022-2023 class of Computer Programming.,Class Pog,Trash,Mr. Smith
2,CP,Yellow & Black,2223A02,346,CP1,This Pog was created to represent the York Tech 2022-2023 class of Computer Programming.,Class Pog,Trash,Mr. Smith
3,CP,Teal & Orange,2223A02,346,CP2,This Pog was created to represent the York Tech 2022-2023 class of Computer Programming.,Class Pog,Trash,Mr. Smith
4,CP,Orange & Teal,2223A02,346,CP3,This Pog was created to represent the York Tech 2022-2023 class of Computer Programming.,Class Pog,Trash,Mr. Smith
5,CP,Teal & Red,2223A02,346,CP4,This Pog was created to represent the York Tech 2022-2023 class of Computer Programming.,Class Pog,Trash,Mr. Smith
6,CP,Red & Teal,2223A02,346,CP5,This Pog was created to represent the York Tech 2022-2023 class of Computer Programming.,Class Pog,Trash,Mr. Smith
7,CP,Blue & Red,2223A02,346,CP6,This Pog was created to represent the York Tech 2022-2023 class of Computer Programming.,Class Pog,Trash,Mr. Smith
8,CP,Red & Blue,2223A02,346,CP7,This Pog was created to represent the York Tech 2022-2023 class of Computer Programming.,Class Pog,Trash,Mr. Smith
9,CP,Grey & Blue,2223A02,346,CP8,This Pog was created to represent the York Tech 2022-2023 class of Computer Programming.,Class Pog,Trash,Mr. Smith
10,CP,Blue & Grey,2223A02,346,CP9,This Pog was created to represent the York Tech 2022-2023 class of Computer Programming.,Class Pog,Trash,Mr. Smith
11,CP,Black & Blue,2223A02,346,CP10,This Pog was created to represent the York Tech 2022-2023 class of Computer Programming.,Class Pog,Trash,Mr. Smith
12,CP,Blue & Black,2223A02,346,CP11,This Pog was created to represent the York Tech 2022-2023 class of Computer Programming.,Class Pog,Trash,Mr. Smith
13,CP,Blue & White,2223A02,346,CP12,This Pog was created to represent the York Tech 2022-2023 class of Computer Programming.,Class Pog,Trash,Mr. Smith
14,CP,Red & Black,2223A02,346,CP13,This Pog was created to represent the York Tech 2022-2023 class of Computer Programming.,Class Pog,Trash,Mr. Smith
15,CP,Clear,2223A02,346,CP14,This Pog was created to represent the York Tech 2022-2023 class of Computer Programming.,Class Pog,Trash,Mr. Smith
16,CP,Yellow,2223A02,346,CP15,This Pog was created to represent the York Tech 2022-2023 class of Computer Programming.,Class Pog,Trash,Mr. Smith
17,CP,Purple,2223A02,346,CP16,This Pog was created to represent the York Tech 2022-2023 class of Computer Programming.,Class Pog,Trash,Mr. Smith
18,CP,Red,2223A02,346,CP17,This Pog was created to represent the York Tech 2022-2023 class of Computer Programming.,Class Pog,Trash,Mr. Smith
19,CP,Orange,2223A02,346,CP18,This Pog was created to represent the York Tech 2022-2023 class of Computer Programming.,Class Pog,Trash,Mr. Smith
20,CP,Teal,2223A02,346,CP19,This Pog was created to represent the York Tech 2022-2023 class of Computer Programming.,Class Pog,Trash,Mr. Smith
23,Dingus,Black,2223A02,N/A,Dingus0,amogus,Student Created,Unknown,Unknown
21,CP,Black & Red,2223A02,346,CP20,This Pog was created to represent the York Tech 2022-2023 class of Computer Programming.,Class Pog,Trash,Mr. Smith
22,CP,White & Blue,2223A02,346,CP21,This Pog was created to represent the York Tech 2022-2023 class of Computer Programming.,Class Pog,Trash,Mr. Smith
